CODGEO,town,REG,DEP,E14TST,E14TS0ND,E14TS1,E14TS6,E14TS10,E14TS20,E14TS50,E14TS100,E14TS200,E14TS500,smallFirms,percentage 
75056,Paris,11,75,427385,316603,76368,14836,10829,5643,1658,812,456,180,102033,0.238737906
13055,Marseille,93,13,68332,48557,14268,2432,1599,908,318,148,82,20,18299,0.267795469
69123,Lyon,82,69,49756,33047,11452,2171,1525,974,333,135,90,29,15148,0.304445695
6088,Nice,93,6,39314,28345,8148,1298,911,414,104,62,23,9,10357,0.263443048
31555,Toulouse,73,31,36823,24584,8163,1632,1237,735,254,125,65,28,11032,0.299595362
33063,Bordeaux,72,33,26116,17800,5883,1017,725,456,127,56,39,13,7625,0.291966611
34172,Montpellier,91,34,24508,17495,4833,908,678,380,126,47,29,12,6419,0.261914477
44109,Nantes,52,44,22585,15381,4808,963,683,461,160,77,38,14,6454,0.285764888
67482,Strasbourg,42,67,20882,13604,5025,960,660,398,138,49,36,12,6645,0.318216646
59350,Lille,31,59,19787,13148,4455,927,640,400,109,60,36,12,6022,0.304341234
13001,Aix-en-Provence,93,13,17626,12040,3695,716,561,400,113,65,32,4,4972,0.282083286
92012,Boulogne-Billancourt,11,92,15403,10929,2812,611,464,347,98,66,62,14,3887,0.252353438
35238,Rennes,53,35,13669,8727,3236,702,507,319,101,50,20,7,4445,0.325188382
38185,Grenoble,82,38,13207,8620,3285,574,384,229,54,35,13,13,4243,0.321269024
30189,Nîmes,91,30,12166,7873,2962,599,400,203,73,38,16,2,3961,0.325579484
83137,Toulon,93,83,11849,8447,2638,365,221,105,47,15,6,5,3224,0.272090472
6029,Cannes,93,6,11763,8259,2717,351,258,121,33,17,5,2,3326,0.282750999
42218,Saint-Étienne,82,42,11663,7251,3046,523,440,252,82,48,16,5,4009,0.343736603
97411,Saint-Denis,4,974,11550,8090,2369,503,312,175,49,35,15,2,3184,0.275670996
97209,Fort-de-France,2,972,11503,8974,1737,399,224,117,22,20,10,0,2360,0.20516387
66136,Perpignan,91,66,11036,7166,2615,515,411,224,62,21,19,3,3541,0.320859007
92051,Neuilly-sur-Seine,11,92,10486,7890,1729,283,259,195,62,31,25,12,2271,0.21657448
51454,Reims,21,51,10388,6496,2462,557,403,278,115,48,25,4,3422,0.32941856
21231,Dijon,26,21,10130,6326,2609,490,350,211,80,37,23,4,3449,0.34047384
63113,Clermont-Ferrand,83,63,10090,6092,2584,584,426,232,96,36,30,10,3594,0.356194252
84007,Avignon,93,84,9883,6352,2425,482,355,183,46,26,13,1,3262,0.330061722
93048,Montreuil,11,93,9787,7020,1878,367,276,175,34,14,18,5,2521,0.257586594
76540,Rouen,23,76,9699,6002,2552,496,346,188,65,26,19,5,3394,0.349932983
6004,Antibes,93,6,9554,6975,1983,275,191,88,32,6,3,1,2449,0.256332426
69266,Villeurbanne,82,69,9440,6459,2049,330,283,189,67,37,20,6,2662,0.281991525
37261,Tours,24,37,8954,5509,2333,459,310,236,58,26,19,4,3102,0.346437346
57463,Metz,41,57,8909,5507,2292,449,327,210,71,28,18,7,3068,0.344370861
49007,Angers,52,49,8857,5532,2249,445,317,199,56,34,20,5,3011,0.339957096
72181,Le Mans,52,72,8547,5346,2022,470,333,213,92,43,21,7,2825,0.330525331
92026,Courbevoie,11,92,8423,6182,1206,284,281,224,84,73,58,31,1771,0.210257628
87085,Limoges,74,87,8265,4766,2232,494,400,239,67,41,22,4,3126,0.378221416
78646,Versailles,11,78,8065,5742,1642,320,201,102,29,16,10,3,2163,0.268195908
54395,Nancy,41,54,8052,5157,2005,397,244,172,46,21,4,6,2646,0.328614009
97103,Baie-Mahault,1,971,8005,5612,1452,456,295,141,35,10,4,0,2203,0.275202998
76351,Le Havre,23,76,7998,4663,2153,496,316,245,67,36,15,7,2965,0.370717679
14118,Caen,25,14,7925,5048,2034,401,243,118,49,14,14,4,2678,0.337917981
92044,Levallois-Perret,11,92,7923,5243,1610,406,266,205,82,54,35,22,2282,0.288022214
93066,Saint-Denis,11,93,7920,5202,1642,360,333,195,80,47,45,16,2335,0.294823232
97415,Saint-Paul,4,974,7890,5761,1546,287,177,88,21,7,3,0,2010,0.254752852
25056,Besançon,43,25,7684,4830,1899,373,312,168,60,24,15,3,2584,0.336283186
45234,Orléans,24,45,7490,4725,1892,326,270,176,54,30,12,5,2488,0.332176235
29019,Brest,53,29,7445,4464,1987,380,332,182,57,27,14,2,2699,0.362525185
17300,La Rochelle,54,17,7305,4741,1804,347,234,127,35,12,5,0,2385,0.326488706
68224,Mulhouse,42,68,7193,4411,1951,359,261,136,42,22,6,5,2571,0.357430836
59512,Roubaix,31,59,7085,4938,1505,254,207,115,36,17,11,2,1966,0.27748765
